936136.ARRT01000006_gene4939,ruvC,Crossover&nbsp;junction&nbsp;endodeoxyribonuclease&nbsp;RuvC,98.9
936136.ARRT01000006_gene3458,purQ,Phosphoribosylformylglycinamidine&nbsp;synthase&nbsp;subunit&nbsp;PurQ,90.6
936136.ARRT01000006_gene2014,rnhA,Ribonuclease&nbsp;H,90.6
936136.ARRT01000006_gene2166,ARRT01000006_gene2166,annotation&nbsp;not&nbsp;available,90.6
936136.ARRT01000006_gene2905,gpt,Xanthine&nbsp;phosphoribosyltransferase,90.6
936136.ARRT01000004_gene6477,ARRT01000004_gene6477,annotation&nbsp;not&nbsp;available,90.6
936136.ARRT01000006_gene1991,ARRT01000006_gene1991,annotation&nbsp;not&nbsp;available,90.6
936136.ARRT01000004_gene6529,amiF,Formamidase,90.6
936136.ARRT01000006_gene1862,ARRT01000006_gene1862,annotation&nbsp;not&nbsp;available,90.6
936136.ARRT01000006_gene4632,ARRT01000006_gene4632,annotation&nbsp;not&nbsp;available,90.6
936136.ARRT01000002_gene711,ARRT01000002_gene711,annotation&nbsp;not&nbsp;available,90.5
936136.ARRT01000006_gene1390,hpf,Ribosome&nbsp;hibernation&nbsp;promoting&nbsp;factor,90.5
936136.ARRT01000006_gene2834,msrP,Protein-methionine-sulfoxide&nbsp;reductase&nbsp;catalytic&nbsp;subunit&nbsp;MsrP,90.5
936136.ARRT01000006_gene1760,ARRT01000006_gene1760,annotation&nbsp;not&nbsp;available,90.5
936136.ARRT01000002_gene761,ARRT01000002_gene761,annotation&nbsp;not&nbsp;available,90.5
936136.ARRT01000005_gene114,ARRT01000005_gene114,annotation&nbsp;not&nbsp;available,90.5
936136.ARRT01000006_gene4426,ARRT01000006_gene4426,annotation&nbsp;not&nbsp;available,90.4
936136.ARRT01000006_gene2017,ARRT01000006_gene2017,annotation&nbsp;not&nbsp;available,90.4
936136.ARRT01000005_gene180,ARRT01000005_gene180,Cbb3-type&nbsp;cytochrome&nbsp;c&nbsp;oxidase&nbsp;subunit,90.4
936136.ARRT01000006_gene1963,ARRT01000006_gene1963,annotation&nbsp;not&nbsp;available,90.4
936136.ARRT01000006_gene1907,ARRT01000006_gene1907,annotation&nbsp;not&nbsp;available,90.4
936136.ARRT01000006_gene5983,ARRT01000006_gene5983,Regulatory&nbsp;protein&nbsp;RecX,90.4
936136.ARRT01000006_gene1573,ARRT01000006_gene1573,annotation&nbsp;not&nbsp;available,90.4
936136.ARRT01000006_gene2696,ARRT01000006_gene2696,annotation&nbsp;not&nbsp;available,90.3
936136.ARRT01000006_gene4265,ARRT01000006_gene4265,annotation&nbsp;not&nbsp;available,90.2
936136.ARRT01000006_gene2019,ARRT01000006_gene2019,annotation&nbsp;not&nbsp;available,90.2
936136.ARRT01000006_gene3669,ARRT01000006_gene3669,annotation&nbsp;not&nbsp;available,90.2
936136.ARRT01000006_gene2673,ARRT01000006_gene2673,annotation&nbsp;not&nbsp;available,90.2
936136.ARRT01000006_gene3585,ARRT01000006_gene3585,annotation&nbsp;not&nbsp;available,90.2
936136.ARRT01000004_gene6481,ARRT01000004_gene6481,annotation&nbsp;not&nbsp;available,90.2
936136.ARRT01000002_gene879,ARRT01000002_gene879,annotation&nbsp;not&nbsp;available,90.2
936136.ARRT01000006_gene3533,ARRT01000006_gene3533,annotation&nbsp;not&nbsp;available,90.1
936136.ARRT01000006_gene1634,ARRT01000006_gene1634,Non-homologous&nbsp;end&nbsp;joining&nbsp;protein&nbsp;Ku,90.1
936136.ARRT01000006_gene1610,ARRT01000006_gene1610,annotation&nbsp;not&nbsp;available,90.1
936136.ARRT01000006_gene2346,ARRT01000006_gene2346,annotation&nbsp;not&nbsp;available,90.1
936136.ARRT01000006_gene3356,ARRT01000006_gene3356,annotation&nbsp;not&nbsp;available,90.1
936136.ARRT01000006_gene4859,ARRT01000006_gene4859,annotation&nbsp;not&nbsp;available,90.1
936136.ARRT01000006_gene5923,upp,Uracil&nbsp;phosphoribosyltransferase,90.1
936136.ARRT01000006_gene5027,ARRT01000006_gene5027,annotation&nbsp;not&nbsp;available,90.1
936136.ARRT01000002_gene646,ARRT01000002_gene646,annotation&nbsp;not&nbsp;available,90.1
936136.ARRT01000006_gene3574,ARRT01000006_gene3574,"3,4-dihydroxy-2-butanone&nbsp;4-phosphate&nbsp;synthase",90.0
936136.ARRT01000006_gene5603,ARRT01000006_gene5603,annotation&nbsp;not&nbsp;available,90.0
936136.ARRT01000002_gene299,ARRT01000002_gene299,annotation&nbsp;not&nbsp;available,90.0
936136.ARRT01000004_gene6466,ARRT01000004_gene6466,annotation&nbsp;not&nbsp;available,89.9
936136.ARRT01000002_gene878,ARRT01000002_gene878,annotation&nbsp;not&nbsp;available,89.9
936136.ARRT01000006_gene2749,ARRT01000006_gene2749,annotation&nbsp;not&nbsp;available,89.9
936136.ARRT01000006_gene3200,ARRT01000006_gene3200,annotation&nbsp;not&nbsp;available,89.9
936136.ARRT01000002_gene819,ARRT01000002_gene819,annotation&nbsp;not&nbsp;available,89.9
936136.ARRT01000006_gene2385,ARRT01000006_gene2385,annotation&nbsp;not&nbsp;available,89.9
936136.ARRT01000002_gene472,ARRT01000002_gene472,annotation&nbsp;not&nbsp;available,89.9
936136.ARRT01000002_gene552,ARRT01000002_gene552,annotation&nbsp;not&nbsp;available,89.8
936136.ARRT01000001_gene11,ARRT01000001_gene11,annotation&nbsp;not&nbsp;available,89.8
936136.ARRT01000006_gene4982,ARRT01000006_gene4982,annotation&nbsp;not&nbsp;available,89.7
936136.ARRT01000006_gene4754,ARRT01000006_gene4754,annotation&nbsp;not&nbsp;available,89.7
936136.ARRT01000006_gene1808,ARRT01000006_gene1808,annotation&nbsp;not&nbsp;available,89.7
936136.ARRT01000003_gene6289,ARRT01000003_gene6289,annotation&nbsp;not&nbsp;available,89.7
936136.ARRT01000006_gene5789,ARRT01000006_gene5789,annotation&nbsp;not&nbsp;available,89.7
936136.ARRT01000006_gene3628,cobT,Nicotinate-nucleotide--dimethylbenzimidazole&nbsp;phosphoribosyltransferase,89.7
936136.ARRT01000006_gene2003,ARRT01000006_gene2003,Cytochrome&nbsp;c&nbsp;oxidase&nbsp;subunit&nbsp;2,89.7
936136.ARRT01000003_gene6349,ARRT01000003_gene6349,annotation&nbsp;not&nbsp;available,89.7
936136.ARRT01000007_gene1294,ARRT01000007_gene1294,annotation&nbsp;not&nbsp;available,89.6
936136.ARRT01000006_gene4329,ARRT01000006_gene4329,annotation&nbsp;not&nbsp;available,89.6
936136.ARRT01000004_gene6493,ARRT01000004_gene6493,annotation&nbsp;not&nbsp;available,89.6
936136.ARRT01000004_gene6512,ARRT01000004_gene6512,annotation&nbsp;not&nbsp;available,89.6
936136.ARRT01000006_gene4920,cpoB,Cell&nbsp;division&nbsp;coordinator&nbsp;CpoB,89.5
936136.ARRT01000001_gene4,ARRT01000001_gene4,annotation&nbsp;not&nbsp;available,89.5
936136.ARRT01000006_gene2724,ARRT01000006_gene2724,annotation&nbsp;not&nbsp;available,89.5
936136.ARRT01000006_gene2701,ARRT01000006_gene2701,annotation&nbsp;not&nbsp;available,89.5
936136.ARRT01000007_gene962,ARRT01000007_gene962,annotation&nbsp;not&nbsp;available,89.5
936136.ARRT01000002_gene426,ARRT01000002_gene426,annotation&nbsp;not&nbsp;available,89.5
936136.ARRT01000006_gene2760,ARRT01000006_gene2760,annotation&nbsp;not&nbsp;available,89.5
936136.ARRT01000006_gene2211,ARRT01000006_gene2211,annotation&nbsp;not&nbsp;available,89.4
936136.ARRT01000007_gene1131,ARRT01000007_gene1131,annotation&nbsp;not&nbsp;available,89.4
936136.ARRT01000006_gene3770,ARRT01000006_gene3770,annotation&nbsp;not&nbsp;available,89.4
936136.ARRT01000006_gene3990,ARRT01000006_gene3990,annotation&nbsp;not&nbsp;available,89.4
936136.ARRT01000006_gene5629,ARRT01000006_gene5629,annotation&nbsp;not&nbsp;available,89.4
936136.ARRT01000006_gene3242,ARRT01000006_gene3242,Peptidyl-prolyl&nbsp;cis-trans&nbsp;isomerase,89.4
936136.ARRT01000002_gene371,ARRT01000002_gene371,Non-homologous&nbsp;end&nbsp;joining&nbsp;protein&nbsp;Ku,89.4
936136.ARRT01000006_gene3378,hisI,Phosphoribosyl-AMP&nbsp;cyclohydrolase,89.4
936136.ARRT01000006_gene5286,rpmB,annotation&nbsp;not&nbsp;available,89.4
936136.ARRT01000007_gene1127,nadA,Quinolinate&nbsp;synthase&nbsp;A,89.3
936136.ARRT01000006_gene2569,cysS,annotation&nbsp;not&nbsp;available,89.3
936136.ARRT01000006_gene5302,ARRT01000006_gene5302,annotation&nbsp;not&nbsp;available,89.3
936136.ARRT01000006_gene5702,hemE,Uroporphyrinogen&nbsp;decarboxylase,89.3
936136.ARRT01000006_gene5134,lysS,annotation&nbsp;not&nbsp;available,89.3
936136.ARRT01000006_gene5365,ARRT01000006_gene5365,annotation&nbsp;not&nbsp;available,89.2
936136.ARRT01000006_gene4720,ureE,Urease&nbsp;accessory&nbsp;protein&nbsp;UreE,89.2
936136.ARRT01000007_gene1117,ARRT01000007_gene1117,annotation&nbsp;not&nbsp;available,89.1
936136.ARRT01000006_gene5951,ARRT01000006_gene5951,Formyltetrahydrofolate&nbsp;deformylase,89.1
936136.ARRT01000006_gene1406,ARRT01000006_gene1406,annotation&nbsp;not&nbsp;available,89.1
936136.ARRT01000001_gene78,ARRT01000001_gene78,annotation&nbsp;not&nbsp;available,89.1
936136.ARRT01000006_gene5311,ARRT01000006_gene5311,annotation&nbsp;not&nbsp;available,89.1
936136.ARRT01000006_gene4529,ARRT01000006_gene4529,annotation&nbsp;not&nbsp;available,89.1
936136.ARRT01000006_gene3545,rpiA,Ribose-5-phosphate&nbsp;isomerase&nbsp;A,89.0
936136.ARRT01000006_gene2793,nusG,Transcription&nbsp;termination/antitermination&nbsp;protein&nbsp;NusG,89.0
936136.ARRT01000006_gene5281,ARRT01000006_gene5281,annotation&nbsp;not&nbsp;available,89.0
936136.ARRT01000006_gene3984,ARRT01000006_gene3984,annotation&nbsp;not&nbsp;available,89.0
936136.ARRT01000006_gene3881,ARRT01000006_gene3881,annotation&nbsp;not&nbsp;available,88.9
936136.ARRT01000006_gene2617,ARRT01000006_gene2617,annotation&nbsp;not&nbsp;available,88.9
936136.ARRT01000006_gene3872,ARRT01000006_gene3872,annotation&nbsp;not&nbsp;available,88.9
936136.ARRT01000006_gene1889,ARRT01000006_gene1889,Iron-sulfur&nbsp;cluster&nbsp;carrier&nbsp;protein,88.9
936136.ARRT01000007_gene1023,ARRT01000007_gene1023,annotation&nbsp;not&nbsp;available,88.9
936136.ARRT01000006_gene3649,ARRT01000006_gene3649,annotation&nbsp;not&nbsp;available,88.8
936136.ARRT01000006_gene3849,ARRT01000006_gene3849,annotation&nbsp;not&nbsp;available,88.8
936136.ARRT01000006_gene2816,rplN,50S&nbsp;ribosomal&nbsp;protein&nbsp;L14,88.8
936136.ARRT01000006_gene1830,ARRT01000006_gene1830,annotation&nbsp;not&nbsp;available,88.8
936136.ARRT01000006_gene3706,ARRT01000006_gene3706,annotation&nbsp;not&nbsp;available,88.7
936136.ARRT01000006_gene2519,ARRT01000006_gene2519,annotation&nbsp;not&nbsp;available,88.7
936136.ARRT01000002_gene654,ARRT01000002_gene654,annotation&nbsp;not&nbsp;available,88.6
936136.ARRT01000006_gene2590,gmk,Guanylate&nbsp;kinase,88.6
936136.ARRT01000006_gene5585,ARRT01000006_gene5585,annotation&nbsp;not&nbsp;available,88.6
936136.ARRT01000006_gene1612,ARRT01000006_gene1612,annotation&nbsp;not&nbsp;available,88.6
936136.ARRT01000006_gene4140,ARRT01000006_gene4140,annotation&nbsp;not&nbsp;available,88.6
936136.ARRT01000006_gene6077,ARRT01000006_gene6077,annotation&nbsp;not&nbsp;available,88.6
936136.ARRT01000007_gene1194,ARRT01000007_gene1194,annotation&nbsp;not&nbsp;available,88.5
936136.ARRT01000002_gene387,ARRT01000002_gene387,annotation&nbsp;not&nbsp;available,88.5
936136.ARRT01000002_gene287,ARRT01000002_gene287,annotation&nbsp;not&nbsp;available,88.5
936136.ARRT01000006_gene5725,accD,Acetyl-coenzyme&nbsp;A&nbsp;carboxylase&nbsp;carboxyl&nbsp;transferase&nbsp;subunit&nbsp;beta,88.5
936136.ARRT01000006_gene5172,ARRT01000006_gene5172,annotation&nbsp;not&nbsp;available,88.4
936136.ARRT01000006_gene3290,ARRT01000006_gene3290,annotation&nbsp;not&nbsp;available,88.4
936136.ARRT01000006_gene1484,ARRT01000006_gene1484,annotation&nbsp;not&nbsp;available,88.4
936136.ARRT01000004_gene6641,ARRT01000004_gene6641,annotation&nbsp;not&nbsp;available,88.4
936136.ARRT01000006_gene5868,recF,DNA&nbsp;replication&nbsp;and&nbsp;repair&nbsp;protein&nbsp;RecF,88.3
936136.ARRT01000006_gene4785,ARRT01000006_gene4785,annotation&nbsp;not&nbsp;available,88.2
936136.ARRT01000003_gene6301,ARRT01000003_gene6301,annotation&nbsp;not&nbsp;available,88.2
936136.ARRT01000006_gene5731,ARRT01000006_gene5731,annotation&nbsp;not&nbsp;available,88.2
936136.ARRT01000004_gene6588,ARRT01000004_gene6588,annotation&nbsp;not&nbsp;available,88.2
936136.ARRT01000003_gene6309,ARRT01000003_gene6309,annotation&nbsp;not&nbsp;available,88.2
936136.ARRT01000006_gene1987,aroC,Chorismate&nbsp;synthase,88.2
936136.ARRT01000004_gene6584,ARRT01000004_gene6584,annotation&nbsp;not&nbsp;available,88.2
936136.ARRT01000006_gene2815,rpsQ,30S&nbsp;ribosomal&nbsp;protein&nbsp;S17,88.2
936136.ARRT01000006_gene1647,ARRT01000006_gene1647,annotation&nbsp;not&nbsp;available,88.1
936136.ARRT01000002_gene457,ARRT01000002_gene457,annotation&nbsp;not&nbsp;available,88.1
936136.ARRT01000006_gene6063,ARRT01000006_gene6063,annotation&nbsp;not&nbsp;available,88.1
936136.ARRT01000006_gene5529,ARRT01000006_gene5529,annotation&nbsp;not&nbsp;available,88.1
936136.ARRT01000002_gene449,ARRT01000002_gene449,annotation&nbsp;not&nbsp;available,88.1
936136.ARRT01000002_gene427,ARRT01000002_gene427,annotation&nbsp;not&nbsp;available,88.1
936136.ARRT01000006_gene5816,ARRT01000006_gene5816,annotation&nbsp;not&nbsp;available,88.0
936136.ARRT01000006_gene1696,ARRT01000006_gene1696,annotation&nbsp;not&nbsp;available,88.0
936136.ARRT01000006_gene3072,ARRT01000006_gene3072,ATP-dependent&nbsp;Clp&nbsp;protease&nbsp;adapter&nbsp;protein&nbsp;ClpS,88.0
936136.ARRT01000006_gene2709,argC,N-acetyl-gamma-glutamyl-phosphate&nbsp;reductase,88.0
936136.ARRT01000006_gene1473,pyrE,Orotate&nbsp;phosphoribosyltransferase,88.0
936136.ARRT01000006_gene4735,ARRT01000006_gene4735,annotation&nbsp;not&nbsp;available,88.0
936136.ARRT01000006_gene2661,ARRT01000006_gene2661,annotation&nbsp;not&nbsp;available,88.0
936136.ARRT01000002_gene456,ARRT01000002_gene456,annotation&nbsp;not&nbsp;available,87.9
936136.ARRT01000002_gene787,ARRT01000002_gene787,annotation&nbsp;not&nbsp;available,87.9
936136.ARRT01000006_gene2818,rplE,50S&nbsp;ribosomal&nbsp;protein&nbsp;L5,87.9
936136.ARRT01000006_gene5883,ARRT01000006_gene5883,annotation&nbsp;not&nbsp;available,87.9
936136.ARRT01000006_gene2725,ARRT01000006_gene2725,ATP-dependent&nbsp;Clp&nbsp;protease&nbsp;proteolytic&nbsp;subunit,87.9
936136.ARRT01000006_gene2058,ARRT01000006_gene2058,annotation&nbsp;not&nbsp;available,87.9
936136.ARRT01000006_gene1665,ARRT01000006_gene1665,annotation&nbsp;not&nbsp;available,87.9
936136.ARRT01000002_gene686,ARRT01000002_gene686,annotation&nbsp;not&nbsp;available,87.9
936136.ARRT01000006_gene5573,ARRT01000006_gene5573,annotation&nbsp;not&nbsp;available,87.8
936136.ARRT01000003_gene6260,ARRT01000003_gene6260,annotation&nbsp;not&nbsp;available,87.8
936136.ARRT01000007_gene963,ARRT01000007_gene963,annotation&nbsp;not&nbsp;available,87.8
936136.ARRT01000002_gene468,ARRT01000002_gene468,annotation&nbsp;not&nbsp;available,87.8
936136.ARRT01000006_gene2802,rpsG,30S&nbsp;ribosomal&nbsp;protein&nbsp;S7,87.8
936136.ARRT01000006_gene2389,ARRT01000006_gene2389,annotation&nbsp;not&nbsp;available,87.8
936136.ARRT01000006_gene4692,ARRT01000006_gene4692,annotation&nbsp;not&nbsp;available,87.7
936136.ARRT01000006_gene4568,lldD,annotation&nbsp;not&nbsp;available,87.7
936136.ARRT01000006_gene5982,ARRT01000006_gene5982,annotation&nbsp;not&nbsp;available,87.7
936136.ARRT01000003_gene6165,ARRT01000003_gene6165,annotation&nbsp;not&nbsp;available,87.7
936136.ARRT01000006_gene3163,ARRT01000006_gene3163,annotation&nbsp;not&nbsp;available,87.7
936136.ARRT01000003_gene6361,ARRT01000003_gene6361,annotation&nbsp;not&nbsp;available,87.7
936136.ARRT01000006_gene5226,ubiG,Ubiquinone&nbsp;biosynthesis&nbsp;O-methyltransferase,87.7
936136.ARRT01000002_gene885,ARRT01000002_gene885,annotation&nbsp;not&nbsp;available,87.7
936136.ARRT01000005_gene225,ARRT01000005_gene225,annotation&nbsp;not&nbsp;available,87.6
936136.ARRT01000006_gene4713,ARRT01000006_gene4713,annotation&nbsp;not&nbsp;available,87.6
936136.ARRT01000006_gene3975,ARRT01000006_gene3975,annotation&nbsp;not&nbsp;available,87.6
936136.ARRT01000002_gene279,ARRT01000002_gene279,annotation&nbsp;not&nbsp;available,87.6
936136.ARRT01000004_gene6637,ARRT01000004_gene6637,annotation&nbsp;not&nbsp;available,87.6
936136.ARRT01000002_gene524,ARRT01000002_gene524,annotation&nbsp;not&nbsp;available,87.6
936136.ARRT01000006_gene3084,ARRT01000006_gene3084,annotation&nbsp;not&nbsp;available,87.6
936136.ARRT01000006_gene4910,mnmA,tRNA-specific&nbsp;2-thiouridylase&nbsp;MnmA,87.6
936136.ARRT01000006_gene1860,tadA,tRNA-specific&nbsp;adenosine&nbsp;deaminase,87.5
936136.ARRT01000006_gene2586,acpP,Acyl&nbsp;carrier&nbsp;protein&nbsp;AcpP,87.5
936136.ARRT01000006_gene4928,ARRT01000006_gene4928,annotation&nbsp;not&nbsp;available,87.5
936136.ARRT01000006_gene1773,ARRT01000006_gene1773,annotation&nbsp;not&nbsp;available,87.5
936136.ARRT01000006_gene2008,ARRT01000006_gene2008,annotation&nbsp;not&nbsp;available,87.5
936136.ARRT01000006_gene5014,ARRT01000006_gene5014,annotation&nbsp;not&nbsp;available,87.5
936136.ARRT01000006_gene5579,ARRT01000006_gene5579,Aldose&nbsp;1-epimerase,87.5
936136.ARRT01000006_gene4963,ARRT01000006_gene4963,annotation&nbsp;not&nbsp;available,87.5
936136.ARRT01000003_gene6155,ARRT01000003_gene6155,annotation&nbsp;not&nbsp;available,87.5
936136.ARRT01000006_gene2895,ARRT01000006_gene2895,annotation&nbsp;not&nbsp;available,87.4
936136.ARRT01000006_gene2382,ARRT01000006_gene2382,annotation&nbsp;not&nbsp;available,87.4
936136.ARRT01000006_gene5907,ARRT01000006_gene5907,annotation&nbsp;not&nbsp;available,87.4
936136.ARRT01000006_gene2525,ARRT01000006_gene2525,annotation&nbsp;not&nbsp;available,87.4
936136.ARRT01000003_gene6303,ARRT01000003_gene6303,annotation&nbsp;not&nbsp;available,87.4
936136.ARRT01000001_gene12,ARRT01000001_gene12,annotation&nbsp;not&nbsp;available,87.4
936136.ARRT01000006_gene2669,ARRT01000006_gene2669,annotation&nbsp;not&nbsp;available,87.4
936136.ARRT01000006_gene3217,recG,ATP-dependent&nbsp;DNA&nbsp;helicase&nbsp;RecG,87.3
936136.ARRT01000006_gene5714,gyrB,DNA&nbsp;gyrase&nbsp;subunit&nbsp;B,87.3
936136.ARRT01000006_gene1574,ARRT01000006_gene1574,annotation&nbsp;not&nbsp;available,87.3
936136.ARRT01000006_gene4357,ARRT01000006_gene4357,annotation&nbsp;not&nbsp;available,87.3
936136.ARRT01000006_gene2832,ARRT01000006_gene2832,annotation&nbsp;not&nbsp;available,87.3
936136.ARRT01000006_gene5762,ARRT01000006_gene5762,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;H,87.3
936136.ARRT01000006_gene4969,rpmE,50S&nbsp;ribosomal&nbsp;protein&nbsp;L31,87.2
936136.ARRT01000006_gene5729,ARRT01000006_gene5729,annotation&nbsp;not&nbsp;available,87.2
936136.ARRT01000006_gene5421,ARRT01000006_gene5421,annotation&nbsp;not&nbsp;available,87.2
936136.ARRT01000006_gene4241,ARRT01000006_gene4241,annotation&nbsp;not&nbsp;available,87.1
936136.ARRT01000006_gene3370,ARRT01000006_gene3370,annotation&nbsp;not&nbsp;available,87.1
936136.ARRT01000006_gene2727,lon,Lon&nbsp;protease,87.1
936136.ARRT01000006_gene1416,rpmH,annotation&nbsp;not&nbsp;available,87.0
936136.ARRT01000006_gene3713,ARRT01000006_gene3713,annotation&nbsp;not&nbsp;available,87.0
936136.ARRT01000006_gene2357,ARRT01000006_gene2357,annotation&nbsp;not&nbsp;available,86.9
936136.ARRT01000006_gene3868,ARRT01000006_gene3868,4-hydroxy-tetrahydrodipicolinate&nbsp;reductase,86.9
936136.ARRT01000007_gene1284,ARRT01000007_gene1284,annotation&nbsp;not&nbsp;available,86.9
936136.ARRT01000006_gene4541,ARRT01000006_gene4541,annotation&nbsp;not&nbsp;available,86.9
936136.ARRT01000006_gene5521,ARRT01000006_gene5521,annotation&nbsp;not&nbsp;available,86.9
936136.ARRT01000006_gene3928,ARRT01000006_gene3928,annotation&nbsp;not&nbsp;available,86.9
936136.ARRT01000006_gene2156,ARRT01000006_gene2156,annotation&nbsp;not&nbsp;available,86.9
936136.ARRT01000006_gene5068,ARRT01000006_gene5068,annotation&nbsp;not&nbsp;available,86.8
936136.ARRT01000002_gene687,ARRT01000002_gene687,annotation&nbsp;not&nbsp;available,86.8
936136.ARRT01000006_gene3124,ARRT01000006_gene3124,annotation&nbsp;not&nbsp;available,86.8
936136.ARRT01000006_gene2779,rne,Ribonuclease&nbsp;E,86.8
936136.ARRT01000006_gene5769,ARRT01000006_gene5769,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;C,86.8
936136.ARRT01000006_gene2146,ARRT01000006_gene2146,annotation&nbsp;not&nbsp;available,86.8
936136.ARRT01000006_gene5707,dnaQ,DNA&nbsp;polymerase&nbsp;III&nbsp;subunit&nbsp;epsilon,86.8
936136.ARRT01000006_gene5743,hisE,annotation&nbsp;not&nbsp;available,86.8
936136.ARRT01000006_gene2812,rpsC,30S&nbsp;ribosomal&nbsp;protein&nbsp;S3,86.7
936136.ARRT01000006_gene4811,ARRT01000006_gene4811,annotation&nbsp;not&nbsp;available,86.7
936136.ARRT01000005_gene131,ARRT01000005_gene131,annotation&nbsp;not&nbsp;available,86.7
936136.ARRT01000006_gene3387,ARRT01000006_gene3387,annotation&nbsp;not&nbsp;available,86.7
936136.ARRT01000003_gene6194,ARRT01000003_gene6194,annotation&nbsp;not&nbsp;available,86.7
936136.ARRT01000006_gene3377,folE,annotation&nbsp;not&nbsp;available,86.7
936136.ARRT01000006_gene3354,ARRT01000006_gene3354,annotation&nbsp;not&nbsp;available,86.7
936136.ARRT01000006_gene1897,ARRT01000006_gene1897,ATP&nbsp;synthase&nbsp;subunit&nbsp;b,86.6
936136.ARRT01000004_gene6620,ARRT01000004_gene6620,Spermidine/putrescine&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;PotA,86.6
936136.ARRT01000006_gene4885,ARRT01000006_gene4885,annotation&nbsp;not&nbsp;available,86.6
936136.ARRT01000006_gene5241,ARRT01000006_gene5241,annotation&nbsp;not&nbsp;available,86.6
936136.ARRT01000004_gene6520,ARRT01000004_gene6520,annotation&nbsp;not&nbsp;available,86.6
936136.ARRT01000006_gene3858,ARRT01000006_gene3858,annotation&nbsp;not&nbsp;available,86.5
936136.ARRT01000006_gene4188,ARRT01000006_gene4188,annotation&nbsp;not&nbsp;available,86.5
936136.ARRT01000006_gene3838,ARRT01000006_gene3838,annotation&nbsp;not&nbsp;available,86.5
936136.ARRT01000006_gene5711,ARRT01000006_gene5711,annotation&nbsp;not&nbsp;available,86.5
936136.ARRT01000006_gene1774,ARRT01000006_gene1774,annotation&nbsp;not&nbsp;available,86.5
936136.ARRT01000002_gene635,groL2,60&nbsp;kDa&nbsp;chaperonin&nbsp;2,86.4
936136.ARRT01000006_gene5458,tsaD,tRNA&nbsp;N6-adenosine&nbsp;threonylcarbamoyltransferase,86.4
936136.ARRT01000006_gene4379,ARRT01000006_gene4379,annotation&nbsp;not&nbsp;available,86.3
936136.ARRT01000006_gene6096,ARRT01000006_gene6096,annotation&nbsp;not&nbsp;available,86.3
936136.ARRT01000002_gene496,ARRT01000002_gene496,annotation&nbsp;not&nbsp;available,86.3
936136.ARRT01000006_gene3017,ARRT01000006_gene3017,annotation&nbsp;not&nbsp;available,86.3
936136.ARRT01000006_gene2086,ARRT01000006_gene2086,annotation&nbsp;not&nbsp;available,86.2
936136.ARRT01000006_gene1518,ARRT01000006_gene1518,Phosphate-specific&nbsp;transport&nbsp;system&nbsp;accessory&nbsp;protein&nbsp;PhoU,86.2
936136.ARRT01000002_gene277,ARRT01000002_gene277,annotation&nbsp;not&nbsp;available,86.2
936136.ARRT01000006_gene4734,ARRT01000006_gene4734,annotation&nbsp;not&nbsp;available,86.2
936136.ARRT01000006_gene3002,ARRT01000006_gene3002,annotation&nbsp;not&nbsp;available,86.2
936136.ARRT01000006_gene4740,ARRT01000006_gene4740,annotation&nbsp;not&nbsp;available,86.2
936136.ARRT01000006_gene4556,ARRT01000006_gene4556,annotation&nbsp;not&nbsp;available,86.1
936136.ARRT01000007_gene1052,ARRT01000007_gene1052,annotation&nbsp;not&nbsp;available,86.1
936136.ARRT01000006_gene4020,ARRT01000006_gene4020,annotation&nbsp;not&nbsp;available,86.1
936136.ARRT01000004_gene6443,ARRT01000004_gene6443,annotation&nbsp;not&nbsp;available,86.1
936136.ARRT01000006_gene5859,ARRT01000006_gene5859,annotation&nbsp;not&nbsp;available,86.1
936136.ARRT01000006_gene1407,ARRT01000006_gene1407,annotation&nbsp;not&nbsp;available,86.1
936136.ARRT01000005_gene239,ARRT01000005_gene239,annotation&nbsp;not&nbsp;available,86.0
936136.ARRT01000006_gene3256,ARRT01000006_gene3256,annotation&nbsp;not&nbsp;available,86.0
936136.ARRT01000006_gene5893,ARRT01000006_gene5893,annotation&nbsp;not&nbsp;available,86.0
936136.ARRT01000006_gene3571,ARRT01000006_gene3571,annotation&nbsp;not&nbsp;available,86.0
936136.ARRT01000005_gene121,ARRT01000005_gene121,annotation&nbsp;not&nbsp;available,86.0
936136.ARRT01000006_gene3667,ARRT01000006_gene3667,annotation&nbsp;not&nbsp;available,85.9
936136.ARRT01000002_gene828,panC,Pantothenate&nbsp;synthetase,85.9
936136.ARRT01000002_gene383,ARRT01000002_gene383,annotation&nbsp;not&nbsp;available,85.8
936136.ARRT01000006_gene4534,oppB,annotation&nbsp;not&nbsp;available,85.8
936136.ARRT01000006_gene3606,ARRT01000006_gene3606,annotation&nbsp;not&nbsp;available,85.8
936136.ARRT01000002_gene261,ARRT01000002_gene261,annotation&nbsp;not&nbsp;available,85.7
936136.ARRT01000006_gene2951,ARRT01000006_gene2951,annotation&nbsp;not&nbsp;available,85.7
936136.ARRT01000006_gene3250,ARRT01000006_gene3250,annotation&nbsp;not&nbsp;available,85.7
936136.ARRT01000002_gene568,ARRT01000002_gene568,annotation&nbsp;not&nbsp;available,85.7
